SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
21,4,4,2,2,1,1,1,1,2,1,1,5,4,3,1,5,3,5,5,5,1,2,5,3,3,3,3,4,5,4,5,1,3,4,5,2,3,Northeast,2,6,Public,760,800,1560,,,1,3.33,3.10,3.22,1,1,3.18,3.33,,,,,,,,,,,,,,,,,
22,2,2,5,1,1,2,3,2,2,2,2,3,4,4,1,2,4,5,4,4,1,2,5,5,3,5,4,4,4,5,5,5,5,3,4,2,3,Northeast,1,5,Public,610,700,1310,,,1,3.84,3.09,3.46,1,1,1.08,2.58,,,,,,,,,,,,,,,,,
23,2,2,1,2,2,2,3,1,3,2,4,3,4,3,1,5,2,4,3,1,1,5,5,3,3,5,3,4,4,4,5,2,3,3,3,1,3,Non-Northeast,2,3,,,,,32,,1,3.67,3.00,3.38,1,1,2.44,3.20,,,,,,,,,,,,,,,,,
24,1,1,1,2,1,1,1,1,3,1,1,4,2,4,1,5,5,5,5,5,1,2,5,3,3,4,2,2,1,2,5,4,3,2,3,2,3,Northeast,2,2,Private,760,740,1500,,,1,3.92,3.56,3.77,1,1,3.92,3.84,,,,,,,,,,,,,,,,,
25,2,2,5,3,3,2,3,3,3,2,4,4,3,3,1,4,3,4,3,5,1,,5,3,2,3,1,2,3,4,5,3,2,3,3,1,3,Non-Northeast,2,2,,650,760,1410,,,1,4.00,4.00,4.00,1,1,3.65,3.89,,,,,,,,,,,,,,,,,
26,2,2,1,3,1,2,3,1,4,1,4,3,4,4,1,5,3,5,5,5,1,2,5,3,3,4,4,3,4,4,5,2,3,3,4,2,3,Northeast,2,6,Public,720,790,1510,,,1,3.17,3.19,3.18,1,1,3.48,3.34,,,,,,,,,,,,,,,,,
27,3,3,1,3,2,4,4,4,4,2,5,2,5,2,1,2,2,4,5,3,1,3,3,5,3,2,1,3,2,5,5,2,3,3,5,2,3,Northeast,2,1,Public,560,580,1140,,,1,2.27,3.17,2.65,1,1,4.00,3.15,,,,,,,,,,,,,,,,,
28,2,2,5,2,1,1,1,2,1,1,1,4,4,4,1,5,2,4,5,5,1,2,5,3,3,5,5,3,3,3,5,4,1,2,4,2,3,Northeast,2,2,Public,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,2,1,1,1,1,1,1,2,1,2,2,4,3,1,2,3,3,3,3,1,3,3,2,2,4,4,2,3,1,5,1,1,2,4,1,3,Northeast,2,3,Public,690,620,1310,,,1,4.00,3.09,3.54,1,1,3.34,3.50,,,,,,,,,,,,,,,,,
30,2,2,1,3,2,3,4,4,3,3,5,4,4,4,1,5,2,5,3,4,1,3,5,4,3,3,3,4,5,5,5,4,3,3,5,1,3,Northeast,1,2,Public,620,720,1340,,,1,3.75,3.33,3.54,1,1,2.71,3.26,,,,,,,,,,,,,,,,,
