SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
315,4,2,2,1,1,1,1,1,1,1,1,4,4,3,1,3,3,5,4,5,1,3,5,4,3,2,4,3,4,4,5,2,2,2,3,2,3,Northeast,2,6,,800,720,1520,,,1,1.84,,1.84,,,0.00,1.84,,,,,,,,,,,,,,,,,
316,3,2,1,1,1,2,2,1,1,1,4,3,3,3,1,3,2,5,3,3,1,5,3,4,3,4,5,4,3,3,5,3,2,3,3,2,3,Northeast,1,3,Public,,,,28,,1,3.75,3.73,3.74,1,1,3.75,3.67,,,,,,,,,,,,,,,,,
317,3,2,1,1,2,1,5,5,2,2,3,4,3,5,1,5,2,5,5,5,1,2,3,3,3,5,4,1,3,5,5,5,4,4,5,1,3,Northeast,2,2,Public,560,780,1340,,,1,3.61,2.22,3.03,1,1,2.67,2.89,,,,,,,,,,,,,,,,,
318,2,2,1,3,1,1,3,2,3,2,4,5,4,3,1,4,2,5,4,5,1,3,5,3,3,4,3,2,2,4,5,2,3,3,4,2,3,Northeast,1,2,Public,710,740,1450,,,1,3.76,3.75,3.76,1,1,3.51,3.70,,,,,,,,,,,,,,,,,
319,2,2,1,1,1,1,1,1,1,1,1,4,4,4,3,5,2,5,5,5,1,2,5,4,4,4,4,2,2,1,5,2,3,2,3,2,3,Northeast,1,6,Public,740,710,1450,,,1,3.25,3.45,3.33,1,1,3.33,3.31,,,,,,,,,,,,,,,,,
320,2,2,1,4,4,2,2,2,2,1,2,4,5,3,1,4,4,5,3,5,1,4,5,3,3,5,3,1,1,3,3,3,3,3,3,1,1,Non-Northeast,2,1,Public,470,760,1230,,,1,2.61,2.56,2.58,1,1,3.25,2.81,,,,,,,,,,,,,,,,,
321,4,3,5,3,2,3,4,1,2,1,1,3,4,3,1,5,3,4,4,4,,3,3,5,2,3,4,4,3,4,1,1,3,3,5,2,3,Non-Northeast,2,6,Public,740,730,1470,,,1,3.42,3.45,3.43,1,1,2.89,3.30,,,,,,,,,,,,,,,,,
322,2,3,3,2,3,1,2,2,2,2,4,4,5,2,3,5,2,4,4,4,1,4,5,3,3,3,3,3,3,3,3,3,3,3,3,2,1,Non-Northeast,2,5,,670,660,1330,,,1,3.60,3.22,3.46,1,1,3.22,3.21,,,,,,,,,,,,,,,,,
323,2,2,1,1,1,2,2,1,3,1,5,3,5,2,1,4,2,4,3,3,1,3,5,3,3,4,3,2,2,3,5,3,3,4,5,2,3,Non-Northeast,2,2,Public,570,640,1210,,,1,1.08,2.17,1.62,1,1,1.24,1.77,,,,,,,,,,,,,,,,,
324,2,2,1,3,1,2,3,3,2,2,1,4,4,3,1,5,3,4,5,5,3,2,5,3,3,5,4,3,4,4,5,2,4,,,2,3,Northeast,2,2,Public,630,700,1330,,,1,3.75,3.74,3.74,1,1,3.61,3.67,,,,,,,,,,,,,,,,,
325,3,4,5,1,3,1,1,2,2,1,5,4,4,2,1,5,2,5,3,3,1,3,3,4,3,5,2,1,1,4,5,5,3,4,5,2,3,Non-Northeast,2,5,Private,,,,22,,1,3.92,3.58,3.75,1,1,3.29,3.63,,,,,,,,,,,,,,,,,
326,2,2,2,3,3,2,4,4,3,1,4,4,4,4,1,4,3,5,5,5,1,2,5,3,3,5,3,3,4,5,5,3,3,4,5,2,3,Northeast,2,3,Public,660,700,1360,,,1,4.00,3.53,3.71,1,1,3.49,3.67,,,,,,,,,,,,,,,,,
327,2,2,1,,2,2,2,1,3,1,4,2,4,3,1,5,3,3,4,4,1,5,5,1,2,4,1,2,2,2,5,4,3,3,4,1,3,Northeast,2,1,Public,530,600,1130,,,1,3.29,3.72,3.49,1,1,3.44,3.52,,,,,,,,,,,,,,,,,
328,2,2,2,3,3,3,3,3,3,2,4,3,5,3,1,3,2,3,3,3,1,4,5,3,4,5,3,3,3,3,3,3,3,3,3,2,1,Non-Northeast,2,5,,480,770,1250,,,1,3.80,3.22,3.58,1,1,3.58,3.60,,,,,,,,,,,,,,,,,
329,2,1,1,2,2,1,2,2,3,2,2,5,4,3,1,5,4,5,5,5,1,2,5,5,4,3,3,3,3,3,3,3,3,3,3,1,3,Northeast,2,2,Public,660,760,1420,,,1,4.00,3.26,3.74,1,1,3.72,3.66,,,,,,,,,,,,,,,,,
330,2,1,1,1,1,2,2,1,1,3,5,3,4,4,1,5,3,4,5,5,3,5,2,4,3,4,5,2,3,3,5,4,3,3,5,1,3,Northeast,2,2,Public,730,730,1460,,,1,2.59,1.00,2.27,1,1,2.33,2.67,,,,,,,,,,,,,,,,,
331,2,2,1,3,3,2,3,2,4,2,1,5,1,3,3,5,2,3,5,3,1,2,5,5,3,3,2,4,2,3,5,4,4,2,4,2,3,Non-Northeast,2,2,Public,660,780,1440,,,1,4.00,3.14,3.56,1,1,3.75,3.62,,,,,,,,,,,,,,,,,
332,3,3,5,2,2,2,3,2,4,3,4,3,4,3,1,4,2,5,5,5,1,5,5,3,3,3,2,4,4,2,5,3,2,2,3,2,3,Northeast,1,6,Private,730,690,1420,,,1,3.08,3.00,3.04,1,1,2.67,2.94,,,,,,,,,,,,,,,,,
333,1,2,1,1,1,2,1,1,1,1,1,5,4,3,1,5,3,4,5,5,1,2,5,3,3,5,3,1,1,1,5,5,1,1,3,2,3,Non-Northeast,2,2,Private,,,,31,,1,4.00,4.00,4.00,1,1,4.00,4.00,,,,,,,,,,,,,,,,,
334,2,3,1,1,3,2,2,2,3,2,5,3,3,4,1,4,1,5,4,4,1,4,1,2,2,4,4,2,3,4,5,5,5,5,4,2,3,Non-Northeast,2,2,Public,590,670,1260,,,1,3.38,2.67,3.07,,1,0.00,3.11,,,,,,,,,,,,,,,,,
335,2,2,1,3,3,2,2,2,3,2,5,4,4,4,1,5,4,5,3,5,1,2,5,5,3,5,3,3,,3,5,3,5,2,2,1,3,Northeast,2,2,Public,540,730,1270,,,1,3.50,2.78,3.19,1,1,3.14,3.24,,,,,,,,,,,,,,,,,
336,1,2,2,2,2,2,2,2,2,3,1,4,5,1,1,4,2,5,5,4,4,3,3,5,2,4,3,3,3,5,5,3,3,3,5,2,3,Northeast,2,6,Public,,,,23,,1,2.25,2.35,2.30,1,1,2.25,2.34,,,,,,,,,,,,,,,,,
337,2,2,5,2,2,1,2,2,1,1,1,5,3,4,1,4,3,5,4,5,1,2,5,1,3,5,4,1,1,2,5,3,3,2,4,2,3,Northeast,1,6,Public,560,710,1270,,,1,3.25,3.33,3.28,1,1,3.36,3.37,,,,,,,,,,,,,,,,,
338,2,2,1,2,2,1,2,2,4,3,4,2,4,4,1,4,5,5,5,5,1,3,3,4,3,2,1,1,2,2,5,3,1,1,3,2,3,Northeast,2,2,Private,650,710,1360,,,1,4.00,4.00,4.00,1,1,4.00,4.00,,,,,,,,,,,,,,,,,
339,4,3,5,1,1,2,4,3,,1,5,4,3,4,1,5,3,5,5,4,1,1,5,5,3,4,3,2,4,5,5,3,5,1,5,2,3,Northeast,2,2,Public,690,680,1370,,,1,3.03,2.31,2.65,1,1,1.93,2.30,,,,,,,,,,,,,,,,,
340,3,1,1,2,2,1,4,2,3,2,2,5,3,4,1,5,5,5,5,5,1,2,5,3,3,3,3,2,3,5,5,1,2,3,3,2,3,Non-Northeast,1,6,,,,,33,,1,3.38,3.69,3.56,1,1,3.68,3.61,,,,,,,,,,,,,,,,,
341,1,2,2,3,3,3,2,3,3,1,5,4,4,2,1,4,2,4,4,3,1,3,1,3,3,2,3,3,3,3,5,4,2,3,3,2,3,Northeast,2,2,Public,550,610,1160,,,1,2.82,3.11,2.94,1,1,3.00,3.01,,,,,,,,,,,,,,,,,
342,2,2,1,3,1,2,1,1,4,2,4,4,3,3,1,2,2,3,3,4,2,4,5,5,2,4,4,2,3,3,5,4,3,3,4,2,3,Non-Northeast,2,2,,670,710,1380,,,1,3.69,3.67,3.68,1,1,3.25,3.57,,,,,,,,,,,,,,,,,
343,4,3,5,3,2,4,4,4,4,3,5,1,4,3,1,2,1,3,4,3,2,4,3,3,1,2,2,2,3,4,5,3,4,2,5,1,3,Northeast,2,6,Public,,,,28,,1,3.50,2.47,2.93,,,0.00,2.93,,,,,,,,,,,,,,,,,
344,2,2,2,2,2,3,3,3,3,2,4,3,4,2,1,3,1,4,2,3,1,2,3,4,2,3,2,3,3,4,5,3,4,3,4,2,3,Non-Northeast,2,2,Parochial,650,660,1310,,,1,2.59,1.89,2.30,1,1,2.90,2.41,,,,,,,,,,,,,,,,,
345,3,4,5,2,2,4,3,3,4,4,3,5,4,4,1,5,2,4,3,3,3,3,5,4,2,4,2,4,4,4,5,3,5,3,4,2,3,Northeast,2,6,,480,690,1170,,,1,2.34,3.44,2.81,1,1,3.11,2.90,,,,,,,,,,,,,,,,,
346,3,4,2,1,2,3,2,2,2,2,3,2,4,2,1,3,2,4,4,4,3,4,2,5,2,5,3,2,1,2,5,4,4,2,4,2,3,Non-Northeast,2,3,Private,,,,24,,1,2.42,3.45,2.86,1,1,2.89,2.67,,,,,,,,,,,,,,,,,
347,2,2,1,2,1,2,3,2,3,2,5,5,4,4,1,5,2,4,5,4,1,2,3,4,3,2,3,1,1,1,1,4,3,3,2,1,3,Non-Northeast,2,6,,640,630,1270,,,1,1.89,1.67,1.80,1,1,3.12,2.75,,,,,,,,,,,,,,,,,
348,3,2,1,2,2,1,3,2,3,2,1,5,4,4,1,4,1,5,4,2,1,2,5,4,3,5,2,1,2,3,5,4,2,3,4,2,3,Northeast,2,2,Public,580,760,1340,,,1,3.50,2.82,3.15,1,1,1.63,2.70,,,,,,,,,,,,,,,,,
349,2,2,1,2,3,1,1,1,4,2,3,4,3,5,1,5,3,5,5,5,1,2,3,3,2,4,4,3,1,1,5,3,2,3,2,2,3,Northeast,2,2,Public,,,,27,,1,3.11,3.69,3.40,1,1,3.25,3.46,,,,,,,,,,,,,,,,,
350,2,3,1,1,2,2,3,2,2,2,5,5,3,4,1,5,2,5,5,5,1,2,5,4,3,3,3,3,3,3,3,3,3,3,3,2,3,Non-Northeast,2,6,Public,640,710,1350,,,1,1.11,2.67,1.73,,,0.00,1.89,,,,,,,,,,,,,,,,,
351,2,3,4,1,1,2,2,1,1,2,4,3,3,3,1,5,2,4,3,5,1,2,5,3,2,4,2,2,2,4,5,2,2,3,3,2,3,Northeast,1,2,Private,620,650,1270,,,1,3.14,2.25,2.71,1,1,2.45,2.67,,,,,,,,,,,,,,,,,
351,2,2,1,1,1,1,1,1,1,1,1,5,4,4,1,3,2,5,4,3,1,4,1,4,3,1,3,2,3,3,1,3,3,2,4,2,3,Northeast,1,2,Private,620,650,1270,,,1,3.14,2.25,2.71,1,1,2.45,2.67,,,,,,,,,,,,,,,,,
352,1,2,2,4,1,1,1,1,4,3,3,5,3,4,1,4,2,3,4,3,1,4,5,4,3,1,1,2,1,2,5,4,2,4,3,1,3,Non-Northeast,2,2,Public,,,,31,,1,3.42,3.08,3.25,1,1,2.65,3.05,,,,,,,,,,,,,,,,,
353,2,2,1,1,1,1,4,2,1,1,1,5,3,5,1,2,2,5,5,5,1,2,5,3,3,3,5,4,4,4,5,3,2,2,4,2,3,Northeast,2,2,Public,640,700,1340,,,1,3.76,3.50,3.64,1,1,3.34,3.54,,,,,,,,,,,,,,,,,
354,3,3,2,2,1,3,3,3,2,2,4,2,3,2,3,2,3,3,3,3,1,4,3,2,3,5,4,4,4,4,5,3,3,4,4,1,3,Non-Northeast,2,2,Public,710,690,1400,,,1,2.08,2.67,2.34,1,1,2.59,2.53,,,,,,,,,,,,,,,,,
355,2,2,5,1,1,1,2,2,3,1,1,4,3,3,1,4,2,4,5,3,2,2,3,3,3,5,3,1,1,2,5,5,3,3,5,1,3,Northeast,2,6,Public,,,,28,,1,2.58,2.76,2.68,1,1,3.47,3.05,,,,,,,,,,,,,,,,,
356,2,2,2,2,1,1,2,2,3,2,1,5,5,3,1,1,1,5,2,5,1,4,5,3,2,2,4,2,2,4,5,4,4,4,4,2,3,Northeast,2,2,Public,690,700,1390,,,1,3.33,3.06,3.19,1,1,2.27,2.84,,,,,,,,,,,,,,,,,
357,3,3,3,1,1,2,2,2,3,2,5,2,2,3,1,4,2,4,3,4,2,1,3,1,2,4,3,1,1,2,5,3,3,3,5,1,2,Northeast,2,5,Public,720,770,1490,,,1,3.25,2.80,3.00,1,1,2.48,2.96,,,,,,,,,,,,,,,,,
358,2,2,2,1,2,2,2,3,4,4,5,3,1,3,1,5,5,5,5,3,2,5,5,3,3,3,3,3,4,3,3,4,3,4,3,2,1,Non-Northeast,2,3,,570,740,1310,,,1,3.34,3.17,3.25,1,1,2.67,3.11,,,,,,,,,,,,,,,,,
359,2,1,1,1,1,1,1,1,1,1,5,4,4,3,1,4,2,5,2,2,1,2,4,3,3,4,2,4,3,2,5,3,3,4,5,2,3,Non-Northeast,2,2,Public,760,690,1450,,,1,3.69,3.78,3.73,1,1,3.75,3.74,,,,,,,,,,,,,,,,,
360,1,1,1,2,2,2,3,2,3,3,5,3,2,5,1,5,3,5,5,5,1,2,5,3,3,1,1,1,2,2,1,2,1,1,2,2,1,Non-Northeast,2,2,,540,760,1300,,,1,3.45,3.11,3.26,1,1,3.33,3.52,,,,,,,,,,,,,,,,,
361,2,2,2,2,1,1,2,1,2,1,1,5,4,4,1,5,3,5,5,5,1,2,5,4,3,3,2,3,4,4,5,2,2,2,3,2,3,Northeast,2,3,Public,620,700,1320,,,1,2.98,2.75,2.87,1,1,2.17,2.64,,,,,,,,,,,,,,,,,
362,1,2,1,1,1,1,1,1,2,1,2,2,3,3,1,3,1,4,5,3,1,2,5,3,3,2,2,2,4,1,5,2,1,2,3,2,3,Non-Northeast,2,2,Public,770,750,1520,,,1,4.00,4.00,4.00,,,0.00,4.00,,,,,,,,,,,,,,,,,
363,2,2,5,3,1,3,3,3,2,3,4,3,5,3,1,4,3,4,5,5,1,2,1,4,3,5,5,3,2,3,5,3,4,3,4,2,3,Northeast,2,2,Public,670,660,1330,,,1,2.15,2.05,2.11,1,1,2.06,1.93,,,,,,,,,,,,,,,,,
364,2,1,1,1,1,1,1,1,1,1,1,5,3,4,1,4,2,4,3,5,1,2,5,3,3,5,4,2,1,2,5,5,3,2,3,1,3,Northeast,2,2,Public,700,770,1470,,,1,3.50,3.44,3.47,1,1,3.33,3.44,,,,,,,,,,,,,,,,,
365,2,2,5,1,1,2,3,2,2,1,4,2,4,3,1,5,4,5,5,4,,,,,,,,,,,,,,,,1,3,Non-Northeast,2,2,Public,,,,33,,1,3.22,3.22,3.22,1,1,3.33,2.89,,,,,,,,,,,,,,,,,
366,3,2,5,1,1,1,1,1,1,1,1,4,4,3,1,4,2,4,5,5,1,2,5,5,3,2,1,2,4,2,5,2,1,1,4,2,3,Northeast,1,3,Public,700,790,1490,,,1,4.00,3.89,3.95,1,1,3.27,3.56,,,,,,,,,,,,,,,,,
367,2,2,1,1,4,2,3,4,5,2,5,4,3,4,1,4,2,5,5,5,1,2,5,3,4,3,3,3,3,3,5,2,2,2,4,1,3,Northeast,2,1,Public,740,780,1520,,,1,3.65,3.34,3.50,1,1,3.70,3.52,,,,,,,,,,,,,,,,,
368,4,2,2,3,2,1,4,1,2,1,3,5,4,3,1,5,4,5,5,5,1,2,5,3,3,3,3,4,5,5,5,2,4,2,4,2,3,Northeast,2,2,Public,740,800,1540,,,1,3.25,3.08,3.17,1,1,2.93,3.12,,,,,,,,,,,,,,,,,
369,2,2,2,1,1,1,1,1,1,1,5,5,3,3,1,4,4,3,5,3,1,2,3,3,3,2,4,4,4,5,5,4,3,3,4,2,3,Non-Northeast,2,2,Public,690,740,1430,,,1,4.00,3.53,3.75,1,1,3.44,3.66,,,,,,,,,,,,,,,,,
370,2,2,1,2,2,2,2,2,2,2,5,4,4,4,1,5,3,4,5,4,1,2,5,3,3,5,5,1,1,2,5,4,4,4,5,2,3,Northeast,2,2,Public,650,690,1340,,,1,3.50,3.29,3.40,1,1,2.84,3.22,,,,,,,,,,,,,,,,,
371,1,1,1,2,1,1,3,2,2,1,1,5,3,5,1,5,2,5,5,5,1,2,5,3,3,3,3,4,5,4,5,2,2,3,5,2,3,Northeast,1,2,Public,610,720,1330,,,1,4.00,3.69,3.86,1,1,3.50,3.70,,,,,,,,,,,,,,,,,
372,2,2,2,1,1,1,4,1,2,2,1,3,4,3,1,3,1,5,3,5,1,,3,3,3,5,3,5,5,5,5,1,3,3,3,2,3,Northeast,2,2,Public,780,740,1520,,,1,2.75,2.28,2.54,1,1,1.81,2.36,,,,,,,,,,,,,,,,,
373,2,2,1,2,1,1,1,1,1,1,1,5,4,5,1,5,3,5,5,5,1,2,5,3,4,4,3,5,4,2,5,2,5,2,5,2,3,Northeast,2,6,,800,800,1600,,,1,4.00,4.00,4.00,1,1,3.92,3.98,,,,,,,,,,,,,,,,,
374,2,2,5,2,1,3,2,2,2,3,4,3,4,3,1,4,2,4,3,3,1,2,5,3,2,5,2,3,2,3,5,4,3,3,4,1,3,Northeast,2,2,Public,,,,30,,1,3.17,2.56,2.90,1,1,2.00,2.58,,,,,,,,,,,,,,,,,
375,3,3,5,1,1,3,3,2,3,1,5,2,3,3,1,4,4,4,3,3,,,,,3,5,5,3,3,3,5,3,2,2,4,2,3,Northeast,2,6,Private,800,780,1580,,,1,1.08,2.11,1.52,1,1,3.67,2.36,,,,,,,,,,,,,,,,,
376,1,1,1,1,2,3,4,3,2,2,5,2,3,3,1,1,4,4,5,1,1,5,3,2,2,4,4,1,2,4,5,4,3,4,5,1,3,Northeast,2,2,Public,700,680,1380,,,1,3.76,3.75,3.76,1,1,3.92,3.81,,,,,,,,,,,,,,,,,
377,2,2,1,2,2,1,3,2,2,1,1,4,4,4,1,5,3,4,4,5,1,2,5,3,3,4,5,4,5,4,5,3,3,3,4,2,3,Northeast,2,2,Public,700,740,1440,,,1,4.00,4.00,4.00,1,1,4.00,4.00,,,,,,,,,,,,,,,,,
378,1,1,1,2,1,3,2,2,4,1,4,3,4,3,1,5,4,3,3,3,5,2,5,1,2,4,2,1,1,3,5,3,3,3,3,1,3,Northeast,1,2,Public,650,680,1330,,,1,3.67,3.76,3.72,1,1,3.81,3.74,,,,,,,,,,,,,,,,,
379,2,2,1,1,1,1,2,1,2,1,2,3,4,4,1,4,2,4,5,5,2,4,3,4,3,4,2,4,4,3,5,3,1,3,4,2,3,Non-Northeast,2,6,,,,,33,,1,3.59,3.67,3.62,1,1,3.67,3.67,,,,,,,,,,,,,,,,,
380,2,2,1,3,2,1,1,2,4,1,1,5,5,2,1,4,2,3,5,4,1,1,5,5,3,4,2,2,2,2,5,4,3,3,4,2,3,Northeast,2,6,Public,500,580,1080,,,1,3.00,1.67,2.25,1,1,2.58,2.39,,,,,,,,,,,,,,,,,
381,2,3,1,2,1,4,2,3,3,1,5,2,4,3,1,3,2,3,4,3,1,3,3,3,2,5,4,2,2,4,5,5,3,3,4,2,3,Non-Northeast,2,2,Public,630,660,1290,,,1,3.10,2.29,2.72,1,1,2.12,2.51,,,,,,,,,,,,,,,,,
382,3,3,3,1,2,2,3,2,1,1,5,2,4,3,1,4,2,3,3,3,1,2,5,4,2,4,4,4,4,3,5,3,3,2,3,2,3,Northeast,2,5,,520,540,1060,,,0,3.67,,3.67,,,0.00,3.67,,,,,,,,,,,,,,,,,
383,2,1,1,2,1,1,2,2,2,2,4,5,4,3,1,4,2,5,4,3,2,5,3,4,3,4,2,2,4,4,5,4,4,5,3,2,3,Northeast,1,2,Public,570,710,1280,,,1,3.17,3.69,3.40,1,1,3.58,3.51,,,,,,,,,,,,,,,,,
384,2,2,3,3,4,3,4,2,2,3,5,2,4,3,1,5,4,3,5,5,2,2,5,5,3,5,4,2,5,5,5,4,1,2,5,2,3,Northeast,2,2,Public,640,800,1440,,,1,3.92,3.92,3.92,1,1,3.93,3.93,,,,,,,,,,,,,,,,,
385,1,2,5,2,2,3,2,3,2,1,1,3,5,1,1,3,3,4,4,1,2,2,3,5,3,2,1,3,2,2,5,3,1,2,3,2,3,Northeast,2,2,Public,720,750,1470,,,1,2.92,3.37,3.15,1,1,2.83,3.06,,,,,,,,,,,,,,,,,
386,2,3,2,2,1,2,2,1,3,2,5,4,3,4,1,5,2,5,3,2,1,4,1,5,3,2,3,4,4,4,5,4,4,4,4,2,3,Northeast,2,2,Public,730,740,1470,,,1,2.08,1.89,2.00,1,1,1.45,1.84,,,,,,,,,,,,,,,,,
387,2,2,1,2,2,1,3,2,4,2,5,4,2,4,1,5,3,5,5,5,1,1,5,4,3,2,1,3,2,3,5,5,4,4,4,2,1,Non-Northeast,2,2,Private,550,750,1300,,,1,3.87,3.41,3.69,1,1,3.61,3.69,,,,,,,,,,,,,,,,,
388,4,3,5,1,,1,1,1,1,1,5,3,2,4,1,4,2,5,5,5,2,2,5,3,3,5,2,4,2,1,3,3,2,2,4,2,3,Non-Northeast,2,3,,720,740,1460,,,1,2.59,2.22,2.43,1,1,3.67,2.92,,,,,,,,,,,,,,,,,
389,3,3,5,2,2,2,3,2,2,1,2,4,4,3,1,5,3,4,4,3,1,1,1,1,3,3,2,4,5,2,4,2,2,2,2,2,3,Northeast,2,2,Private,720,700,1420,,,1,2.25,2.25,2.25,1,1,1.26,1.96,,,,,,,,,,,,,,,,,
390,2,3,2,1,1,1,2,2,2,2,5,5,3,4,1,4,2,5,5,5,1,2,5,3,2,2,1,3,1,5,5,2,3,3,3,2,3,Northeast,2,2,Public,690,690,1380,,,1,3.55,3.50,3.52,1,1,3.67,3.58,,,,,,,,,,,,,,,,,
391,2,1,2,1,2,2,2,2,2,1,4,2,2,4,1,5,4,5,5,5,1,2,5,3,3,4,5,1,1,3,5,4,3,3,5,1,3,Non-Northeast,2,6,Public,630,740,1370,,,1,3.83,3.67,3.78,1,1,3.86,3.86,,,,,,,,,,,,,,,,,
392,3,3,5,1,1,2,3,3,2,2,2,4,4,3,3,4,2,3,2,1,2,2,5,4,3,3,2,2,2,4,5,3,3,4,4,2,3,Northeast,2,6,Private,610,670,1280,,,1,1.67,2.58,2.06,1,1,1.75,1.95,,,,,,,,,,,,,,,,,
393,4,2,1,1,1,1,2,1,1,1,1,5,4,3,1,2,3,4,5,2,1,2,5,3,5,5,5,3,3,1,5,3,3,2,5,1,3,Northeast,1,2,,670,730,1400,,,1,3.45,3.36,3.42,1,1,3.28,3.36,,,,,,,,,,,,,,,,,
394,2,2,2,3,2,2,3,2,3,2,1,5,4,4,1,5,3,5,5,5,1,2,5,5,3,4,3,3,3,4,5,2,4,4,3,2,3,Northeast,2,6,Public,680,760,1440,,,1,3.42,3.89,3.62,1,1,3.57,3.66,,,,,,,,,,,,,,,,,
395,4,2,2,2,1,3,4,3,4,2,5,2,4,3,1,4,2,4,4,4,1,3,5,3,2,1,1,2,4,5,4,3,2,3,3,2,3,Non-Northeast,2,2,,720,770,1490,,,1,2.75,1.42,2.10,1,1,2.00,2.25,,,,,,,,,,,,,,,,,
396,2,2,1,1,1,2,2,3,3,1,5,4,4,3,1,4,2,3,2,3,1,2,1,4,2,4,3,3,2,4,5,5,3,1,5,1,3,Northeast,1,6,Parochial,660,660,1320,,,1,3.87,3.67,3.79,1,1,2.98,3.38,,,,,,,,,,,,,,,,,
397,2,2,1,1,1,1,2,1,1,1,5,4,3,4,1,4,2,5,4,5,1,2,5,3,3,5,5,2,3,4,5,2,1,3,5,2,3,Non-Northeast,2,6,Public,730,710,1440,,,1,3.92,3.91,3.91,1,1,3.76,3.89,,,,,,,,,,,,,,,,,
398,1,1,1,2,1,1,2,2,3,1,1,5,3,5,1,5,3,5,5,4,1,2,5,4,3,5,3,2,3,2,5,4,4,3,3,2,3,Non-Northeast,2,6,Public,710,750,1460,,,1,3.11,3.00,3.05,1,1,3.25,3.11,,,,,,,,,,,,,,,,,
399,2,2,1,4,4,1,1,1,4,3,1,5,4,2,1,3,1,5,5,5,1,2,5,3,3,5,3,3,1,2,,,,,,1,1,Non-Northeast,2,2,,440,800,1240,,,1,3.92,4.00,3.96,1,1,3.67,3.89,,,,,,,,,,,,,,,,,
400,4,3,1,3,2,4,3,4,3,4,4,2,4,3,1,3,3,5,4,5,1,4,5,4,2,3,5,3,4,4,5,3,5,3,4,2,3,Non-Northeast,2,2,Public,630,750,1380,,,1,3.14,2.00,2.59,1,1,2.00,2.41,,,,,,,,,,,,,,,,,
401,1,1,5,3,3,2,2,2,2,2,1,4,4,3,1,3,2,5,5,5,1,2,5,3,3,5,4,5,1,3,5,1,3,4,4,1,2,Northeast,2,2,,620,790,1410,,,1,3.34,2.67,3.00,1,1,3.07,3.17,,,,,,,,,,,,,,,,,
402,3,2,1,2,1,4,2,1,2,1,4,5,5,1,1,2,3,3,,1,1,2,,,,4,5,1,1,4,5,1,3,5,5,2,3,Non-Northeast,2,2,Parochial,,,,28,,1,2.92,2.67,2.81,1,1,2.93,2.95,,,,,,,,,,,,,,,,,
403,3,2,5,2,2,2,2,2,2,2,3,4,4,3,1,4,4,5,5,3,1,2,5,4,3,3,2,2,3,3,5,3,2,3,4,2,3,Northeast,2,2,Public,570,670,1240,,,1,2.17,2.56,2.33,1,1,1.98,2.35,,,,,,,,,,,,,,,,,
404,2,2,1,1,2,2,3,2,1,1,4,4,3,3,1,3,3,5,4,5,1,2,5,4,3,4,5,2,2,4,5,3,4,4,4,2,3,Non-Northeast,2,6,Public,670,800,1470,,,1,4.00,4.00,4.00,1,1,3.89,3.93,,,,,,,,,,,,,,,,,
405,2,3,1,1,2,1,3,1,2,1,1,5,4,3,1,5,2,5,5,5,1,2,5,3,3,5,3,3,4,3,5,3,2,2,3,2,3,Northeast,2,6,Public,620,700,1320,,,1,2.92,2.56,2.76,1,1,3.33,2.79,,,,,,,,,,,,,,,,,
406,1,2,1,2,2,2,2,3,3,2,5,4,4,4,1,5,2,4,5,5,1,2,5,3,4,4,4,1,2,3,5,4,3,4,4,2,3,Northeast,2,2,Public,670,750,1420,,,1,3.91,3.26,3.56,1,1,3.76,3.82,,,,,,,,,,,,,,,,,
407,5,4,5,1,1,1,2,2,2,1,2,5,1,5,5,3,1,5,5,5,1,2,5,3,5,4,2,1,5,5,5,3,2,3,5,2,2,Non-Northeast,2,6,Public,670,770,1440,,,1,4.00,4.00,4.00,1,1,4.00,4.00,,,,,,,,,,,,,,,,,
408,2,2,1,1,1,1,1,1,1,1,5,4,4,4,1,4,2,5,4,5,1,2,5,5,3,5,5,1,1,2,5,3,3,3,3,2,3,Non-Northeast,2,2,Public,,,,28,,1,3.92,3.77,3.86,1,1,3.67,3.79,,,,,,,,,,,,,,,,,
409,1,1,1,1,1,1,1,1,1,1,1,5,2,5,1,3,5,5,5,5,1,2,5,3,5,2,4,5,5,1,5,5,3,1,5,2,3,Non-Northeast,2,2,,,,,35,,1,4.00,4.00,4.00,1,1,3.90,3.78,,,,,,,,,,,,,,,,,
410,2,2,1,2,2,2,3,4,4,2,5,4,3,4,1,5,2,5,4,5,1,3,5,1,3,4,2,1,1,3,5,4,2,4,5,2,3,Northeast,1,2,Public,670,660,1330,,,1,3.25,4.00,3.57,1,1,3.08,3.41,,,,,,,,,,,,,,,,,
